name,f_nom,r_per_length,x_per_length,c_per_length,i_nom,mounting,cross_section,references
NAYY4x240,50.0,0.125,0.07979645340118076,870.0,357.0,cable,240.0,custom
NYY4x050,50.0,0.387,0.08482300164692443,670.0,185.0,cable,50.0,custom
NYY4x070,50.0,0.268,0.08230972752405259,750.0,228.0,cable,70.0,custom
NYY4x095,50.0,0.193,0.08199556825869361,770.0,274.0,cable,95.0,custom
NYY4x120,50.0,0.153,0.0804247719318987,840.0,313.0,cable,120.0,custom
NYY4x150,50.0,0.124,0.0804247719318987,830.0,352.0,cable,150.0,custom
NYY4x185,50.0,0.0991,0.0804247719318987,830.0,398.0,cable,185.0,custom
NYY4x240,50.0,0.0754,0.07979645340118076,870.0,464.0,cable,240.0,custom
2XSFL2Y1x500,50.0,0.04295,0.15755087157752812,163.0,1000.0,unknown,500.0,custom
2XSFL2Y1x1000,50.0,0.0223,0.13665928043115602,186.0,1463.0,unknown,1000.0,custom
2XSFL2Y1x1600,50.0,0.01365,0.1291194580625405,212.0,1944.0,unknown,1600.0,custom
NFA2X4x25,50.0,1.2,0.07853981633974483,550.0,107.0,overhead,25.0,custom
NFA2X4x35,50.0,0.868,0.07225663103256526,630.0,132.0,overhead,35.0,custom
NFA2X4x50,50.0,0.6409999999999999,0.06911503837897545,810.0,165.0,overhead,50.0,custom
NFA2X4x70,50.0,0.44299999999999995,0.06597344572538566,910.0,205.0,overhead,70.0,custom
NFA2X4x95,50.0,0.32,0.06597344572538566,1025.0,240.0,overhead,95.0,custom
15-AL1/3-ST1A,50.0,1.8769,0.3298672286269283,11.13,105.0,overhead,22.9,custom
24-AL1/4-ST1A,50.0,1.2012,0.3141592653589793,11.67,140.0,overhead,36.32,custom
34-AL1/6-ST1A,50.0,0.8342,0.3047344873982099,12.11,170.0,overhead,51.53,custom
48-AL1/8-ST1A,50.0,0.5939,0.2921681167838508,12.58,210.0,overhead,72.38,custom
70-AL1/11-ST1A,50.0,0.4132,0.2827433388230814,13.17,290.0,overhead,107.51,custom
94-AL1/15-ST1A,50.0,0.306,0.2701769682087222,13.65,350.0,overhead,145.27,custom
15-AL1/3-ST1A,50.0,1.8769,0.38641589639154456,9.41,105.0,overhead,22.9,custom
24-AL1/4-ST1A,50.0,1.2012,0.3738495257771854,9.79,140.0,overhead,36.32,custom
34-AL1/6-ST1A,50.0,0.8342,0.36128315516282616,10.1,170.0,overhead,51.53,custom
48-AL1/8-ST1A,50.0,0.5939,0.35185837720205687,10.42,210.0,overhead,72.38,custom
70-AL1/11-ST1A,50.0,0.4132,0.3392920065876977,10.82,290.0,overhead,107.51,custom
